step,total_halting_vehicles,total_waiting_time_step,ns_queue,ew_queue,ns_avg_wait_current,ew_avg_wait_current
445,24,582.00,0,24,0.00,24.25
446,24,606.00,0,24,0.00,25.25
447,24,630.00,0,24,0.00,26.25
448,24,654.00,0,24,0.00,27.25
449,24,678.00,0,24,0.00,23.38
450,24,702.00,0,24,0.00,23.40
451,24,726.00,0,24,0.00,24.20
452,24,750.00,0,24,0.00,25.00
453,24,774.00,0,24,0.00,25.80
454,24,798.00,0,24,0.00,26.60
455,24,822.00,0,24,0.00,27.40
456,24,846.00,0,24,0.00,28.20
457,24,870.00,0,24,0.00,29.00
458,26,896.00,0,26,0.00,29.87
459,27,923.00,0,27,0.00,30.77
460,27,950.00,0,27,0.00,31.67
461,27,977.00,0,27,0.00,32.57
462,28,1005.00,0,28,0.00,33.50
463,30,1035.00,0,30,0.00,34.50
464,30,1065.00,0,30,0.00,35.50
465,30,1095.00,0,30,0.00,36.50
466,24,738.00,0,24,0.00,28.38
467,18,409.00,0,18,0.00,14.10
468,13,206.00,0,13,0.00,6.87
469,7,57.00,1,6,0.00,2.19
470,2,20.00,0,2,0.00,0.83
471,0,0.00,0,0,0.00,0.00
472,0,0.00,0,0,0.00,0.00
473,0,0.00,0,0,0.00,0.00
474,0,0.00,0,0,0.00,0.00
475,0,0.00,0,0,0.00,0.00
476,0,0.00,0,0,0.00,0.00
477,0,0.00,0,0,0.00,0.00
478,0,0.00,0,0,0.00,0.00
479,1,0.00,0,1,0.00,0.00
480,1,1.00,1,0,0.09,0.00
481,4,5.00,4,0,0.42,0.00
482,5,10.00,5,0,0.83,0.00
483,5,15.00,5,0,1.25,0.00
484,6,21.00,6,0,1.75,0.00
485,6,27.00,6,0,2.25,0.00
486,6,33.00,6,0,2.75,0.00
487,6,39.00,6,0,3.25,0.00
488,6,45.00,6,0,3.75,0.00
489,6,51.00,6,0,4.25,0.00
490,7,58.00,6,1,4.75,0.17
491,4,5.00,3,1,0.50,0.33
492,1,3.00,0,1,0.00,0.50
493,2,5.00,0,2,0.00,0.83
494,3,8.00,0,3,0.00,1.33
495,5,13.00,0,5,0.00,2.17
496,5,18.00,0,5,0.00,3.00
497,5,23.00,0,5,0.00,3.83
498,5,28.00,0,5,0.00,4.67
499,6,34.00,0,6,0.00,5.67
